FileID,Type-1,Type-2,Type-3,Type-4,ModelName
23,0,0,0.85,0,deepseek/deepseek-r1-0528-qwen3-8b
24,0.0,0.0,0.0,0.0,deepseek/deepseek-r1-0528-qwen3-8b
25,0.95,0.8,0.6,0.25,deepseek/deepseek-r1-0528-qwen3-8b
26,0,0,0,0,deepseek/deepseek-r1-0528-qwen3-8b
27,0.4,0.3,0.15,0.15,deepseek/deepseek-r1-0528-qwen3-8b
28,0.9,0.85,0.75,0.8,deepseek/deepseek-r1-0528-qwen3-8b
29,0,0,0,0,deepseek/deepseek-r1-0528-qwen3-8b
30,0,0.4,0.8,1,deepseek/deepseek-r1-0528-qwen3-8b
31,0,0,0,0,deepseek/deepseek-r1-0528-qwen3-8b
32,0,0,0,0,deepseek/deepseek-r1-0528-qwen3-8b
33,0.0,0.0,0.0,0.0,deepseek/deepseek-r1-0528-qwen3-8b
34,0,0,0,5.97,deepseek/deepseek-r1-0528-qwen3-8b
35,0,0,0,0,deepseek/deepseek-r1-0528-qwen3-8b
36,0,-5439798684133022,-5439798684133022,-5439798684133,deepseek/deepseek-r1-0528-qwen3-8b
37,0,0,0,0,deepseek/deepseek-r1-0528-qwen3-8b
38,0.0,0.0,0.0,0.0,deepseek/deepseek-r1-0528-qwen3-8b
39,0,0,0,0,deepseek/deepseek-r1-0528-qwen3-8b
40,0,0.6,0.4,0,deepseek/deepseek-r1-0528-qwen3-8b
41,0.2,0.4,0.6,0.8,deepseek/deepseek-r1-0528-qwen3-8b
42,0.0,0.0,0.0,0.0,deepseek/deepseek-r1-0528-qwen3-8b
43,0,0,0,0,deepseek/deepseek-r1-0528-qwen3-8b
44,0,0,0,0,deepseek/deepseek-r1-0528-qwen3-8b
45,0.92,0.43,0.15,0.82,deepseek/deepseek-r1-0528-qwen3-8b
46,0,0,0,0,deepseek/deepseek-r1-0528-qwen3-8b
47,0,0,0,0,deepseek/deepseek-r1-0528-qwen3-8b
48,0.2,0.4,0.6,1.0,deepseek/deepseek-r1-0528-qwen3-8b
49,0.4,0.3,0,1.0,deepseek/deepseek-r1-0528-qwen3-8b
50,0.9,0.85,0.65,0.4,deepseek/deepseek-r1-0528-qwen3-8b
1,0.5,0.8,0.7,0.9,starcoder2-15b-instruct-v0.1
2,0.64,0.35,0.94,0.98,starcoder2-15b-instruct-v0.1
3,0.2,0.4,0.6,0.8,starcoder2-15b-instruct-v0.1
4,0,0.5,0,0,starcoder2-15b-instruct-v0.1
5,0,0.8571428571428571,0.8888888888888888,0.9666666666666667,starcoder2-15b-instruct-v0.1
6,0.78,0.45,0.89,0.98,starcoder2-15b-instruct-v0.1
7,0.95,0.83,0.67,0.45,starcoder2-15b-instruct-v0.1
8,0,0.5,1,0.2,starcoder2-15b-instruct-v0.1
9,0.89,0.75,0.63,0.34,starcoder2-15b-instruct-v0.1
10,0.8,0.5,0.7,0.9,starcoder2-15b-instruct-v0.1
11,0.6,0.4,0.7,0.9,starcoder2-15b-instruct-v0.1
12,0,0.5,0.8,1,starcoder2-15b-instruct-v0.1
13,0.2,0.5,0.7,0.9,starcoder2-15b-instruct-v0.1
14,0.9,0.3,0.6,0.7,starcoder2-15b-instruct-v0.1
15,0.8,0.6,0.4,0.2,starcoder2-15b-instruct-v0.1
16,0.9,0.7,0.6,0.5,starcoder2-15b-instruct-v0.1
17,0.4,0.6,0.5,0.9,starcoder2-15b-instruct-v0.1
18,0.95,0.87,0.74,0.62,starcoder2-15b-instruct-v0.1
19,0.6,0.75,0.9,0.85,starcoder2-15b-instruct-v0.1
20,0.8,0.75,0.6,0.99,starcoder2-15b-instruct-v0.1
21,0,0.75,0,0.85,starcoder2-15b-instruct-v0.1
22,0,0.75,0.84,0,starcoder2-15b-instruct-v0.1
23,0.987,0.954,0.876,0.729,starcoder2-15b-instruct-v0.1
24,0.9,0.95,0.97,0.98,starcoder2-15b-instruct-v0.1
25,0.8,0.6,0.7,0.5,starcoder2-15b-instruct-v0.1
26,0.9,0.75,0.6,0.1,starcoder2-15b-instruct-v0.1
27,0.8,0.65,0.75,0.9,starcoder2-15b-instruct-v0.1
28,0.5,0.87,0.96,0.71,starcoder2-15b-instruct-v0.1
29,0.2,0.5,0.9,0.7,starcoder2-15b-instruct-v0.1
30,0.67,0.53,0.47,0.19,starcoder2-15b-instruct-v0.1
31,0,0.9,0.6,0.4,starcoder2-15b-instruct-v0.1
32,0.5,0.6,0.7,0.8,starcoder2-15b-instruct-v0.1
33,0,0,0,0,starcoder2-15b-instruct-v0.1
34,0.95,0.8,0.7,0.6,starcoder2-15b-instruct-v0.1
35,0.5,0.6,0.8,0.2,starcoder2-15b-instruct-v0.1
36,0,0,0.5,0.8,starcoder2-15b-instruct-v0.1
37,0,0,0,0,starcoder2-15b-instruct-v0.1
38,0.5,0.3,0.7,0.6,starcoder2-15b-instruct-v0.1
39,0.95,0.83,0.76,0.69,starcoder2-15b-instruct-v0.1
40,0.8,0.5,0.6,0.9,starcoder2-15b-instruct-v0.1
41,0,0,1,0,starcoder2-15b-instruct-v0.1
42,0.8,0.5,0.6,0.7,starcoder2-15b-instruct-v0.1
43,0,1,0,1,starcoder2-15b-instruct-v0.1
44,0,1,0,0,starcoder2-15b-instruct-v0.1
45,0.8,0.5,0.4,0.7,starcoder2-15b-instruct-v0.1
46,0.5,0.7,0.9,1,starcoder2-15b-instruct-v0.1
47,0.98,0.75,0.45,0.95,starcoder2-15b-instruct-v0.1
48,0.9,0.75,0.86,0.42,starcoder2-15b-instruct-v0.1
49,0,0,0,0,starcoder2-15b-instruct-v0.1
50,0.95,0.65,0.78,0.82,starcoder2-15b-instruct-v0.1
